image,noise_ratio,method,PSNR,SSIM,IEF
kodim02,0.9,DBRAMF W3×3,25.32208900637539,0.6778649337770113,89.56579408548603
kodim02,0.9,DBRAMF W5×5,25.32208900637539,0.6778649337770113,89.56579408548603
kodim02,0.9,DBRAMF W7×7,25.32101167973024,0.677762969357022,89.54357882523243
kodim03,0.1,DBRAMF W3×3,34.563929692250255,0.9902050432676648,80.97508325307257
kodim03,0.1,DBRAMF W5×5,34.563929692250255,0.9902050432676648,80.97508325307257
kodim03,0.1,DBRAMF W7×7,34.563929692250255,0.9902050432676648,80.97508325307257
kodim03,0.2,DBRAMF W3×3,33.918293544700056,0.9802981605789952,140.12139750705475
kodim03,0.2,DBRAMF W5×5,33.918293544700056,0.9802981605789952,140.12139750705475
kodim03,0.2,DBRAMF W7×7,33.918293544700056,0.9802981605789952,140.12139750705475
kodim03,0.3,DBRAMF W3×3,33.170825390721234,0.9677954846662289,177.20179433999493
kodim03,0.3,DBRAMF W5×5,33.17082891569171,0.9677954870258761,177.20193816667802
kodim03,0.3,DBRAMF W7×7,33.17082891569171,0.9677954870258761,177.20193816667802
kodim03,0.4,DBRAMF W3×3,32.3193980944953,0.9524473698254525,193.93779491690154
kodim03,0.4,DBRAMF W5×5,32.31940244063873,0.9524473768548233,193.93798899763044
kodim03,0.4,DBRAMF W7×7,32.31940244063873,0.9524473768548233,193.93798899763044
kodim03,0.5,DBRAMF W3×3,31.402408400961555,0.932926859643403,195.94820086059653
kodim03,0.5,DBRAMF W5×5,31.40241191984632,0.9329268667000217,195.9483596283097
kodim03,0.5,DBRAMF W7×7,31.40241191984632,0.9329268667000217,195.9483596283097
kodim03,0.6,DBRAMF W3×3,30.309766617269077,0.9073876545783626,183.07243235401444
kodim03,0.6,DBRAMF W5×5,30.3097693534249,0.907387669040462,183.07254769392338
kodim03,0.6,DBRAMF W7×7,30.3097693534249,0.907387669040462,183.07254769392338
kodim03,0.7,DBRAMF W3×3,28.908674725249274,0.8714490939475505,154.70705745972163
kodim03,0.7,DBRAMF W5×5,28.908676706920488,0.871449113201555,154.70712805205116
kodim03,0.7,DBRAMF W7×7,28.908676706920488,0.871449113201555,154.70712805205116
kodim03,0.8,DBRAMF W3×3,26.9126197283364,0.8150470411882003,111.74470188876604
kodim03,0.8,DBRAMF W5×5,26.9126197283364,0.8150470411882003,111.74470188876604
kodim03,0.8,DBRAMF W7×7,26.912422498618767,0.8150451133283242,111.73962725013266
kodim03,0.9,DBRAMF W3×3,23.84578218765034,0.7195204366308523,62.05362592202185
kodim03,0.9,DBRAMF W5×5,23.84578218765034,0.7195204366308523,62.05362592202185
kodim03,0.9,DBRAMF W7×7,23.845488855117488,0.7195136580323739,62.04943481821507
kodim04,0.1,DBRAMF W3×3,34.564031713381404,0.9871821266076065,81.94180828690963
kodim04,0.1,DBRAMF W5×5,34.564031713381404,0.9871821266076065,81.94180828690963
kodim04,0.1,DBRAMF W7×7,34.564031713381404,0.9871821266076065,81.94180828690963
kodim04,0.2,DBRAMF W3×3,33.63115499310795,0.9732775052773771,131.78084401696677
kodim04,0.2,DBRAMF W5×5,33.63115499310795,0.9732775052773771,131.78084401696677
kodim04,0.2,DBRAMF W7×7,33.63115499310795,0.9732775052773771,131.78084401696677
kodim04,0.3,DBRAMF W3×3,32.682577372259104,0.9566199297787743,158.6818564373115
