,DBRAMF,Mean Filter,SMF (3x3)
10%,74.2696,5.7949,32.1201
20%,96.9481,6.0376,31.3289
30%,104.8996,5.8652,16.3241
40%,102.7838,5.5774,8.2219
50%,94.7538,5.284,4.6076
60%,83.0037,5.0223,2.8912
70%,68.7647,4.7642,1.9894
80%,51.3628,4.534,1.4821
90%,30.5723,4.3172,1.1837
