,DBRAMF,Mean Filter,SMF (3x3)
10%,32.8446,22.7666,29.3415
20%,31.1839,19.9882,26.683
30%,29.7886,18.1069,22.446
40%,28.4413,16.6348,18.3256
50%,27.0635,15.423,14.8677
60%,25.7041,14.4017,12.059
70%,24.2344,13.4948,9.7687
80%,22.4785,12.6903,7.9108
90%,19.8349,11.958,6.4235
